MERCADO;MERCADO_GN;sug_token_set;sug_partial;sug_token_sort;sug_ratio
PANAMA/CHIRIQUI / BOCAS/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/SA;;('PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/ROMERO', 89);('PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 92);('PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 91)
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/SA;;('PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 97);('PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 96);('PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 96)
PANAMA/COLON/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/SA;;('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/COLON/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY', 95);('PANAMA/COL0N/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 95);('PANAMA/COL0N/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 95)
PANAMA/HERRERA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/SA;;('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/HERRERA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS', 97);('PANAMA/SA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/SA', 91);('PANAMA/SA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/SA', 94)
PANAMA/PANAMA METRO/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/SA;;('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 93);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/METRO PLUS', 94);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 92)
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/SA;;('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS', 97);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS', 91);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS', 93)
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/SA;;('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO', 97);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO', 91);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO', 92)
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/SA;;('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 97);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 97);('PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 97)
PANAMA/PANAMA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/SA;;('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS', 97);('PANAMA/SA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/SA', 92);('PANAMA/SA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/SA', 95)
PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/SA;;('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO', 97);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO', 90);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO', 92)
PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/SA;;('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 97);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 96);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 96)
PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SA;;('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99', 100);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99', 98);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99', 94);('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99', 94)
PANAMA/PROV CENTRALES/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/SA;;('PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 100);('PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 87);('PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 88);('PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY', 88)
